"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAA2",3254.7811333726,-5.85794245153927,1.09464544533261,-4.4379140956122,9.08348552431345e-06,0.000777087689830004
"SCN3A",181.974736774683,-3.40299044368343,0.368825359581364,-6.51525276464435,7.25673557910634e-11,3.91886398570427e-08
"SCN4A",971.278875223052,-5.96249485817338,0.75165393279826,-6.60210057000432,4.05372345964919e-11,2.4155998312482e-08
"SCT",11.7115147710068,6.87587200837425,1.55551818549841,3.77743703876503,0.000158450543852873,0.00784579899232524
"CCL11",30.1256807248655,5.87857122869444,1.08416291701955,4.49985067014284,6.80012155328022e-06,0.000599555615113446
"CCL20",38.1669385614871,5.78630118240218,1.25813739994849,3.80427541745292,0.000142219874930893,0.00733642286173364
"SLC2A4",2379.3375643484,-7.3135515201278,0.973012431582439,-6.48866480550498,8.66003928765317e-11,4.27583254085527e-08
"SOD3",3561.38066100009,-4.4299178112132,0.506042719584183,-6.7779214648747,1.21917086527048e-11,9.57658714669965e-09
"SOX11",779.007962233468,5.49616897167484,1.12508060474001,3.99630831136214,6.43379321442567e-05,0.00397079930494607
"SYCP1",15.4991020434378,-6.90411699343295,1.57169973594598,-3.75651713772118,0.000172294477731887,0.00836354176877734
"TACC1",14514.2874686537,-2.82502834408979,0.470518147675365,-3.87876291936135,0.00010498901338526,0.00585695889911322
"TACR1",738.211094872578,-4.06399596125703,0.821203259920348,-3.73110545317881,0.0001906413972874,0.00890398374736099
"TDO2",82.9923174078766,4.96014553258354,0.975732772603352,4.05863740952093,4.93598857910776e-05,0.00318279174013288
"TFR2",115.28547188996,4.7678390172539,0.793205260255993,4.75014375981053,2.03272089673542e-06,0.000228100323483667
"TGFBR2",20446.1463939233,-2.85715956572688,0.437140201015027,-4.24843004924874,2.15273842809046e-05,0.00161662043693857
"TGFBR3",9738.91777337112,-4.00623073427666,0.634539923669683,-4.73765419974045,2.1620633167177e-06,0.000235674292384272
"THRSP",5949.74539819535,-5.44201531051256,0.961999163328802,-4.61748354867781,3.8842146356862e-06,0.000383560646395961
"TIMP4",6425.16880284053,-7.72607408825732,1.07469615034969,-6.25858209882743,3.88493364166807e-10,1.59846519670633e-07
"CLEC3B",4653.37686450063,-5.16683528495561,0.782996363097787,-5.32165343459613,1.02828328716017e-07,1.85101702973071e-05
"TNNI3",51.9516908440539,7.89221445030958,1.43795335155722,4.79307235025788,1.64246357602385e-06,0.000189222753715121
"TNNT1",705.759059135233,7.73090649295376,1.17301016330786,5.73814848626099,9.57171805762294e-09,2.50619484475427e-06
"TNS1",58547.3762257253,-3.74929467762204,0.681787431782327,-4.03248072560511,5.51911428822368e-05,0.00350646375054388
"TNXB",18001.1121141055,-5.37369296346501,0.782273315917886,-5.59100364855614,2.25760836627371e-08,5.27212569967243e-06
"TOP2A",5313.52181381856,4.40362223453849,0.879389203404723,3.87043896077041,0.000108639556998702,0.00599808365653218
"TPO",119.590423260023,-4.38425991497789,0.878659427519835,-3.85161737185309,0.000117340265885799,0.00640519890655391
"TSHR",90.2317795434519,-5.05677135087317,1.0068471741549,-4.02918283430475,5.59710750568302e-05,0.00354298955332265
"TTK",1214.56366629849,5.41052335835607,1.01277763059144,4.35487833176216,1.33140846694839e-05,0.00107514344473529
"ZBTB16",797.466622797598,-5.79744194425941,1.06489332904959,-4.50509155554679,6.6344331965732e-06,0.000587946872153751
"SLC14A2",88.6739283430557,-4.9121403139285,0.785119601684297,-4.98285905171122,6.26515883127097e-07,8.26474883688501e-05
"FZD4",19675.164497731,-4.24922736000446,0.692327976212565,-4.69319090321846,2.68976270751149e-06,0.000278783785294481
"SRPX",4086.36802378026,-3.06365512363871,0.521998088172514,-3.95337678508259,7.70559522370971e-05,0.00458053538898849
"SDPR",4264.41453264075,-4.58746440317839,0.553648367962715,-6.47968026417083,9.19171910221367e-11,4.41228049459318e-08
"RAD54L",320.168622498638,4.36018180774592,0.857742635528141,3.91747089227638,8.94828466582751e-05,0.00520657600370927
"PDE8B",696.816155096766,-4.32349289798429,0.645924598928957,-5.14532641038157,2.67056050248705e-07,4.05505685310933e-05
"HSD17B6",155.515902218699,3.6576133216786,0.43259568519009,6.14341153336008,8.07676644851925e-10,2.96967236163534e-07
"AOC3",32124.0891195427,-5.25064802771697,0.772661371222998,-5.50130779928713,3.76984419935652e-08,8.0427997048247e-06
"AKR1C3",4282.9920876188,-3.13970044663281,0.474477378585657,-4.5095942255686,6.49517411212879e-06,0.00057857270016339
"SLC4A4",962.81431216004,-5.66047885638502,0.770630272493138,-6.04761975065873,1.47001398490065e-09,4.88525224482078e-07
"MYOM1",1122.55085079275,-5.1054220386342,0.695592602380802,-5.90204959710984,3.59013193149672e-09,1.0239913289207e-06
"WISP1",528.510705495485,3.64148679374985,0.6895433308536,3.83077708906255,0.000127739191844035,0.00675064518121337
"GYG2",16229.7439068974,-5.46889443504296,0.893277207107248,-5.00280808632164,5.650118242861e-07,7.62810104335007e-05
"PKMYT1",729.955896047097,5.72966304730039,1.03190299565622,4.58343765568067,4.57393300795551e-06,0.00044157618050547
"CCNB2",912.058721943732,4.5784373793871,0.85582117389037,4.18129100863481,2.89858600314512e-05,0.00204450876409595
"SYNGR3",98.1091890166674,4.3698994210672,0.725847769137806,4.64270824317628,3.4387176745767e-06,0.00034349410482289
"EXO1",696.540255002302,5.05652467319031,1.07857658689274,3.76099826612841,0.000169236603218969,0.00823824715556902
"SLC16A7",1205.67226949194,-4.95046484403057,0.977212031717952,-4.04258719275652,5.28646443947784e-05,0.0033710476744877
"AURKB",551.316550654997,5.35583125857702,1.0244416975624,4.25190742327403,2.1195748249059e-05,0.00159949225105672
"DLGAP2",34.8904417074478,-4.43290287979006,0.874947656583548,-3.92355228791022,8.72528173652462e-05,0.0051112404640299
"PTTG1",875.621673993093,4.48780270302048,0.871600865897498,4.00160536718724,6.29141672264298e-05,0.00391086231597098
"GPR37L1",57.4341906221157,5.40068536733454,1.03024086082202,4.27151119188117,1.94152781447011e-05,0.00149117965163814
"TRIP13",1341.66058942058,4.23458240450566,0.794172458376414,4.07289672462119,4.64320164880192e-05,0.00301651006364459
"GLP2R",27.2796121823226,-7.71526878943424,1.48249428827761,-4.5297097213347,5.90647795624998e-06,0.000542924710435936
"ADIPOQ",136397.929705801,-7.66862385723095,1.47046139480695,-4.53505537838785,5.7588373255324e-06,0.000535045525927556
"FHL5",342.806687742475,-3.67414732349298,0.519303086270082,-5.14949245285671,2.6119228311305e-07,4.03005700399698e-05
"ONECUT2",203.686456198779,4.85136609915719,1.00494625994735,3.83241000305725,0.000126894026467792,0.00672655113923288
"KIF23",1371.73213645486,4.2141110384212,0.806664538003994,3.98444568590331,6.7637824567284e-05,0.00414485548350083
